 ,,,Emitió:  Sandra Híjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.C.," $ 20,000 "
"FCOM-01-03       REV: 128
Liberado:  11 Nov 2024",, Último Cambio:,"Modificación de precio en BB34 (SY1071H), BM08 (F04426XM), BT13, BT30 (SY2039R), BT39 (SY14X), CS27 (380SV), CS35 (PL750N), CS40 (380SV), DI28 (290SV), DI33 (290SV), EH01, NL03 (B5558), PB01 (72828), PB05 (78385), PD11 (79983M), PE01 (77005), PH09 (53282), PL06 (78387), PL07 (72826), PO05 (78232), PT02 (77844), TC01 (14554), TT01, TT02, TT04 (B6853), TT06 (280SV), TT09 (14188), TT15 (280SV), TT29 (54091), TT36 (280SV), TT38 (2806SV), TY02, TY04 (78849), TY05 (79255), TY06 (79546), TY07 (78610), UV04, UV12 (800-IV), WI04 (54171), WI05 (B5584), WI11 (19650), WI13 (WL60S). // Se descontinua material CS03 (15336), DI09 (18685), FC02 (76909), GC04 (78876), MT06 (53381), NL01 (53470). // Alta material PJL2652MX (BB48), PF2632MX (BT33), PDT4057 (DI38), NWS5101 (PD12). // Se sustituye material TT17 de TT183S a TT227N. // Modificación de barniz UV04, se elimina FT23M y sustituye con BF394. //",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISTADO DE MATERIA PRIMA CON CLAVE INTERNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOMBRE,"CLAVE
INTERNA",CLAVE PROVEEDOR,PROVEEDOR,DESCRIPCION,CALIBRE SUPERFICIAL (Mil),TIPO ADHESIVO,RESPALDO (Mil),CALIBRE TOTAL (Mil),TIPO RECUBRIMIENTO EN PELICULAS,PRESENTACIONES,DISPONIBILIDAD,OBS,APROBACION PARA CONTACTO CON ALIMENTOS,SUSTENTABLES,DIGITAL,COMPROMISO DE TIEMPO DE ENTREGA,COSTO PARA COTIZAR,MON, PRECIO POR M2 ,MON,NOMBRES CORTOS,Rendimiento,,Precio de compra,,Costo por M2,,MON," A PARTIR DE REV. 104 MATERIALES COMODITIES +4%, SIN ADHESIVO 12%, RESTO 6%
A PARTIR DE REV. 105 MATERIALES COMODITIES +5% (PRECIOS NEGOCIADOS A LA BAJA EN BB, BT, CS, DI04 SOLAMENTE) ", DESCRIPTIVO ,DIGITAL,,,
1,Bopp Blanco Genérico,BB01,,,"2102F (FEDRIGONI), 76911M (AVERY), SY2040S (RAFLATAC), SY1071H (RAFLATAC), SY51M (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,530 ", USD ,,,BOPP BCO,,,,,,100%,, PRECIO PARA COTIZAR DICTADO POR ING. ESC - REV 105 31ENE2023 , GENERICO ,,,,
2,Bopp Blanco Genérico,BB07,,,"2102F (FEDRIGONI), 76911M (AVERY), SY2040S (RAFLATAC), SY1071H (RAFLATAC), SY51M (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,530 ", USD ,,,BOPP BCO,,,,,,100%,, PRECIO PARA COTIZAR DICTADO POR ING. ESC - REV 105 31ENE2023 , GENERICO ,,,,
3,Bopp blanco adh.acrilico - GENERICO APLICACIÓN 'AGUA',BB09,,,"2102F (FEDRIGONI), 76911M (AVERY), SY1071H (RAFLATAC), SY51M (RAFLATAC)",,,,,,,EXACT,,Verificar por clave,,,," $ 0,530 ", USD ,,,BOPP BCO,,,,,,100%,, PRECIO PARA COTIZAR DICTADO POR ING. ESC - REV 105 31ENE2023 ,GENERICO,,,,
4,Bopp blanco adhesivo S692N (ANTES 76911),BB06,76911M,AVERY,2.4 Mil White BOPP TC/S692N/40#BG,"2,4",Acrílico,2,5,TOP COATED,1.524 x 1524,"EXACT 
MASTER",EXACT 1500 Y 3000 ML,Indirecto o incidental,APR para polietileno ,,24 Hrs.," $ 0,530 ", USD ," $ 0,5100 ",USD,BOPP BCO,,,,,,4%,,,PP1,RECOMENDADO,,,
5,"Bopp blanco con patrón de adhesivo, adh. acrílico",BB11,72176,TECHNICOTE,2.3MIL Polar White Polypropylene / TP170/LPG Adhesivo Patrón 1.3 Ctw / 50#SCK L-3,"2,3",Acrílico,"3,2",6,TOP COATED,0.762 x 1524,MASTER,Joyería,Indirecto o incidental,,,7 Semanas," $ 2,217 ", USD ," $ 2,0915 ",USD,BOPP BCO / PATRON,,,,,,6%,," 2 masters 0.762 x 1524 MSI 0.89 + 0.02 CORTE USD/MSI = 1.4105 USD/M2 + 150 USD PATRON + 155 USD FLETE USA + GASTOS DE IMPORTACION (25% FLETE MX Y AA) (1.4105+0.0646+0.066)*1.25 = 1.9264 Atualizado 21-01-2023
1 masters 0.762 x 1524 MSI 0.89 + 0.02 CORTE USD/MSI = 1.4105 USD/M2 + 150 USD PATRON + 155 USD FLETE USA + GASTOS DE IMPORTACION (25% FLETE MX Y AA) (1.4105+0.1292+0.1335)*1.25 = 2.0915 Actualizado 21-01-2023 ",PP1,,,,
